Work_Order_ID,Train_ID,Work_Type,Description,Priority,Status,Created_Date,Due_Date,Estimated_Hours,Assigned_Technician,Department,Cost_Estimate,Maintenance_Type,Notes
WO-DEAEA1CA,CR101,Door_System_PM,Door System PM for CR101 - Standard maintenance protocol,High,Completed,2025-01-07,2025-01-08,4,Tech_260,Rolling_Stock,4080,Corrective,Standard door system pm as per maintenance schedule
WO-AB31F698,CR101,PM-Bogie,PM-Bogie for CR101 - Standard maintenance protocol,Medium,In_Progress,2025-01-17,2025-01-24,23,Tech_156,Rolling_Stock,20861,Preventive,Standard pm-bogie as per maintenance schedule
WO-E65C2A07,CR102,A-Level_Inspection,A-Level Inspection for CR102 - Standard maintenance protocol,Medium,Under_Review,2025-01-15,2025-01-22,8,Tech_229,Mechanical,8152,Preventive,Standard a-level inspection as per maintenance schedule
WO-57BAB4D5,CR103,PM-HVAC,PM-HVAC for CR103 - Standard maintenance protocol,Medium,Completed,2025-01-07,2025-01-14,14,Tech_192,Rolling_Stock,14378,Preventive,Standard pm-hvac as per maintenance schedule
WO-C3328BDA,CR104,C-Level_Inspection,C-Level Inspection for CR104 - Standard maintenance protocol,High,Completed,2024-10-02,2024-10-03,25,Tech_169,Electrical,29825,Preventive,Standard c-level inspection as per maintenance schedule
WO-6FE0FC51,CR105,Door_System_PM,Door System PM for CR105 - Standard maintenance protocol,Medium,Completed,2025-01-12,2025-01-19,4,Tech_193,Electrical,4100,Corrective,Standard door system pm as per maintenance schedule
WO-084DE006,CR105,PM-Brake,PM-Brake for CR105 - Standard maintenance protocol,High,Completed,2025-01-09,2025-01-10,6,Tech_285,Rolling_Stock,6744,Preventive,Standard pm-brake as per maintenance schedule
WO-5B69063A,CR106,PM-Brake,PM-Brake for CR106 - Standard maintenance protocol,Low,In_Progress,2025-01-09,2025-02-08,8,Tech_252,Electrical,8120,Preventive,Standard pm-brake as per maintenance schedule
WO-B454F4F4,CR107,A-Level_Inspection,A-Level Inspection for CR107 - Standard maintenance protocol,High,Completed,2025-01-01,2025-01-02,6,Tech_266,Rolling_Stock,6408,Preventive,Standard a-level inspection as per maintenance schedule
WO-B83420AC,CR107,PM-Bogie,PM-Bogie for CR107 - Standard maintenance protocol,Medium,Completed,2025-01-13,2025-01-20,23,Tech_125,Rolling_Stock,21183,Preventive,Standard pm-bogie as per maintenance schedule
WO-59C946CA,CR108,PM-HVAC,PM-HVAC for CR108 - Standard maintenance protocol,Critical,Completed,2025-01-09,2025-01-09,9,Tech_219,Mechanical,9000,Preventive,Standard pm-hvac as per maintenance schedule
WO-006714E0,CR109,PM-Brake,PM-Brake for CR109 - Standard maintenance protocol,Medium,Completed,2025-01-09,2025-01-16,8,Tech_100,Mechanical,7376,Preventive,Standard pm-brake as per maintenance schedule
WO-274F2B53,CR110,PM-Bogie,PM-Bogie for CR110 - Standard maintenance protocol,Medium,Completed,2025-01-11,2025-01-18,24,Tech_102,Rolling_Stock,22152,Preventive,Standard pm-bogie as per maintenance schedule
WO-08AB774C,CR111,C-Level_Inspection,C-Level Inspection for CR111 - Standard maintenance protocol,Low,Completed,2024-10-23,2024-11-22,26,Tech_123,Electrical,22932,Preventive,Standard c-level inspection as per maintenance schedule
WO-4C11DCA2,CR111,Door_System_PM,Door System PM for CR111 - Standard maintenance protocol,Medium,Completed,2025-01-07,2025-01-14,6,Tech_256,Mechanical,6378,Corrective,Standard door system pm as per maintenance schedule
WO-354E46B4,CR111,PM-Brake,PM-Brake for CR111 - Standard maintenance protocol,Medium,In_Progress,2025-01-18,2025-01-25,8,Tech_245,Electrical,7928,Preventive,Standard pm-brake as per maintenance schedule
WO-4B14FEC1,CR112,Door_System_PM,Door System PM for CR112 - Standard maintenance protocol,Low,In_Progress,2025-01-15,2025-02-14,4,Tech_200,Electrical,4680,Corrective,Standard door system pm as per maintenance schedule
WO-C800F6CD,CR112,C-Level_Inspection,C-Level Inspection for CR112 - Standard maintenance protocol,Critical,Completed,2024-12-25,2024-12-25,31,Tech_281,Electrical,34968,Preventive,Standard c-level inspection as per maintenance schedule
WO-2FF0498F,CR113,CM-Mechanical,CM-Mechanical for CR113 - Standard maintenance protocol,Medium,Completed,2025-01-09,2025-01-16,13,Tech_276,Electrical,10842,Corrective,Standard cm-mechanical as per maintenance schedule
WO-BE4E87B0,CR113,CM-Mechanical,CM-Mechanical for CR113 - Standard maintenance protocol,Medium,Completed,2025-01-13,2025-01-20,19,Tech_294,Rolling_Stock,16416,Corrective,Standard cm-mechanical as per maintenance schedule
WO-28C1EF58,CR114,CM-Mechanical,CM-Mechanical for CR114 - Standard maintenance protocol,Medium,Under_Review,2025-01-15,2025-01-22,9,Tech_162,Rolling_Stock,10386,Corrective,Standard cm-mechanical as per maintenance schedule
WO-F20D4395,CR115,B-Level_Inspection,B-Level Inspection for CR115 - Standard maintenance protocol,Medium,Completed,2024-12-31,2025-01-07,8,Tech_136,Rolling_Stock,8016,Preventive,Standard b-level inspection as per maintenance schedule
WO-2F33777A,CR115,CM-Electrical,CM-Electrical for CR115 - Standard maintenance protocol,Medium,Open,2025-01-20,2025-01-27,9,Tech_199,Rolling_Stock,9837,Corrective,Standard cm-electrical as per maintenance schedule
WO-A26FC0FB,CR115,PM-Brake,PM-Brake for CR115 - Standard maintenance protocol,Medium,Open,2025-01-20,2025-01-27,9,Tech_163,Mechanical,7533,Preventive,Standard pm-brake as per maintenance schedule
